Year,SalaryUSD,Country
2017,200000,United States
2017,61515,United Kingdom
2017,95000,Germany
2017,56000,United Kingdom
2017,35000,France
2017,215000,United Kingdom
2017,75000,Germany
2017,47000,Netherlands
2017,41000,United Kingdom
2017,51652,United Kingdom
2017,37500,Netherlands
2017,60000,Belgium
2017,137500,United States
2017,63000,United Kingdom
2017,85000,United States
2017,96000,United States
2017,90000,United Kingdom
2017,66000,United States
2017,101750,United States
2017,83000,Canada
2017,45000,Canada
2017,78000,United States
2017,123000,United States
2017,100800,United States
2017,148000,United States
2017,113000,United States
2017,40000,Poland
2017,80000,United States
2017,133500,United States
2017,102000,United States
2017,74000,United Kingdom
2017,52000,United States
2017,95000,Ukraine
2017,107690,United States
2017,107000,Australia
2017,84000,Germany
2017,140000,United States
2017,29511,India
2017,165000,United States
2017,200000,United States
2017,133000,United States
2017,67000,Canada
2017,122500,United States
2017,120000,United States
2017,145000,United States
2017,95000,United States
2017,77600,United States
2017,46000,Canada
2017,140000,United States
2017,23000,India
2017,138000,United States
2017,110000,United States
2017,40000,Belgium
2017,72800,Germany
2017,99000,United States
2017,50000,Portugal
2017,55000,South Africa
2017,90000,United States
2017,175000,United States
2017,113400,United States
2017,120000,United States
2017,97500,United States
2017,17621,Greece
2017,26500,Portugal
2017,105000,United States
2017,85000,United States
2017,104000,United States
2017,41900,United Kingdom
2017,99000,United States
2017,98000,United States
2017,51000,United States
2017,98000,United States
2017,98000,United States
2017,116000,United States
2017,60000,United States
2017,150000,Israel
2017,70760,United States
2017,65000,Germany
2017,67770,United Kingdom
2017,81000,Canada
2017,82000,United States
2017,60000,Sweden
2017,55000,United States
2017,70000,United Kingdom
2017,86006,United States
2017,70850,United Kingdom
2017,98517,United Kingdom
2017,23000,United Kingdom
2017,107000,United States
2017,94000,United States
2017,78000,United States
2017,200000,United States
2017,120000,United States
2017,72000,United States
2017,125000,United States
2017,67000,United States
2017,129000,United Kingdom
2017,117000,United States
2017,66000,Netherlands
2017,85155,United States
2017,95000,United States
2017,141000,United States
2017,58000,United Kingdom
2017,95000,United States
2017,121000,United States
2017,10000,India
2017,15000,India
2017,130000,United States
2017,115000,United States
2017,300000,United States
2017,64000,United States
2017,93000,United Kingdom
2017,95000,United States
2017,115000,United States
2017,30798,United Kingdom
2017,140000,United States
2017,125000,United States
2017,87000,United States
2017,99000,United States
2017,44278,United Kingdom
2017,78000,United States
2017,93000,United States
2017,115000,United States
2017,50000,Spain
2017,88000,United States
2017,72000,United States
2017,99000,United States
2017,85000,United States
2017,45000,South Africa
2017,72000,United States
2017,37669,Poland
2017,90000,United Kingdom
2017,85000,Germany
2017,95000,United States
2017,70000,United States
2017,88130,United States
2017,65388,Norway
2017,35900,Poland
2017,47000,United Kingdom
2017,12000,India
2017,42000,France
2017,61606,United Kingdom
2017,16666,India
2017,85000,United States
2017,95000,United States
2017,82000,United States
2017,40000,United Kingdom
2017,45000,Spain
2017,50600,United Kingdom
2017,49289,Jersey
2017,40000,Spain
2017,91000,United States
2017,96000,United States
2017,113000,United States
2017,27000,Argentina
2017,116000,United States
2017,35000,Russia
2017,105000,United States
2017,50400,Belgium
2017,125000,United States
2017,100000,Switzerland
2017,130000,United States
2017,105000,United States
2017,57000,United States
2017,90000,United States
2017,63000,United States
2017,115000,United States
2017,270000,United States
2017,80000,Denmark
2017,157000,United States
2017,48000,United States
2017,49124,Canada
2017,117832,United States
2017,63000,Ireland
2017,105000,United States
2017,80000,United States
2017,160000,United Kingdom
2017,147000,United States
2017,21000,Italy
2017,64000,Sweden
2017,125000,United States
2017,115000,United States
2017,45000,Netherlands
2017,130000,United States
2017,7968,India
2017,40000,United Kingdom
2017,98000,United States
2017,100000,United States
2017,65000,United States
2017,104000,United States
2017,90000,United States
2017,138500,United States
2017,120000,United States
2017,132725,United States
2017,75000,United Kingdom
2017,15000,India
2017,63500,United States
2017,75000,United States
2017,96000,United States
2017,130000,United States
2017,115000,United States
2017,88900,Sweden
2017,88000,Australia
2017,62000,United States
2017,165000,United States
2017,17647,India
2017,93000,United States
2017,97000,United States
2017,85000,United States
2017,111000,United States
2017,134000,United States
2017,95500,Switzerland
2017,100000,United States
2017,122000,United States
2017,26000,Mexico
2017,46000,United States
2017,103110,United States
2017,25500,India
2017,92000,United States
2017,14000,India
2017,112500,United States
2017,70000,United Kingdom
2017,120000,United States
2017,12000,Albania
2017,12300,United States
2017,100000,United States
2017,80000,Denmark
2017,120000,United States
2017,120000,United States
2017,120000,United States
2017,12900,India
2017,90000,United States
2017,118000,United States
2017,96000,United States
2017,67000,United States
2017,110000,United States
2017,10000,India
2017,80000,United States
2017,110000,United States
2017,53000,United States
2017,8300,Russia
2017,123300,United States
2017,180000,United States
2017,130000,United States
2017,95000,United States
2017,113000,United States
2017,50750,United States
2017,80000,United States
2017,97500,United States
2017,115000,United States
2017,90000,United States
2017,91800,United States
2017,93000,United States
2017,225000,United States
2017,94000,United States
2017,65000,United States
2017,90000,United States
2017,105000,United States
2017,83599,United States
2017,70000,United States
2017,92000,United States
2017,119000,United States
2017,120792,United States
2017,35000,France
2017,145000,United States
2017,62000,United Kingdom
2017,112000,United States
2017,133900,United States
2017,100282,United States
2017,125000,United States
2017,160000,United States
2017,93800,United States
2017,89035,United States
2017,90000,United States
2017,116000,United States
2017,158000,United States
2017,110000,Canada
2017,60900,United States
2017,93500,United States
2017,145000,United States
2017,52970,Ireland
2017,116000,United States
2017,95000,United States
2017,100000,Canada
2017,90000,United States
2017,125000,United States
2017,65000,United States
2017,70000,United States
2017,270000,United States
2017,130000,United States
2017,64775,United States
2017,300000,United States
2017,93000,United States
2017,105000,United Kingdom
2017,84000,United States
2017,108000,United States
2017,135000,United States
2017,116000,United States
2017,104000,United States
2017,125000,United States
2017,125000,United States
2017,100000,United States
2017,107000,United States
2017,138000,United States
2017,135000,United States
2017,59000,United Kingdom
2017,102000,United States
2017,117000,United States
2017,110000,United States
2017,100000,United States
2017,118500,United States
2017,113300,United States
2017,123634,United States
2017,102000,United States
2017,95000,United States
2017,165000,United States
2017,96108,United States
2017,95000,United States
2017,81000,United States
2017,73000,United States
2017,55800,United Kingdom
2017,115000,United States
2017,142000,United States
2017,55845,United Kingdom
2017,100000,United States
2017,145000,United States
2017,40000,United Kingdom
2017,110000,United States
2017,117000,United States
2017,147000,United States
2017,109000,United States
2017,110000,United States
2017,110000,United States
2017,62000,United Kingdom
2017,124800,United States
2017,71594,United States
2017,200000,United States
2017,70400,United States
2017,125000,United States
2017,85000,United States
2017,98000,United States
2017,132000,United States
2017,110000,United States
2017,155000,United States
2017,113000,United States
2017,47240,United States
2017,29000,Brazil
2017,65000,United States
2017,153000,United States
2017,116000,United States
2017,135000,United States
2017,122000,United States
2017,125000,United States
2017,110000,United States
2017,125000,United States
2017,80000,United States
2017,60000,United Kingdom
2017,108250,United States
2017,91000,United States
2017,120000,United States
2017,120000,United States
2017,53000,Canada
2017,103900,United States
2017,84826,Germany
2017,105000,United States
2017,120000,United States
2017,100000,United States
2017,41000,United Kingdom
2017,130500,United States
2017,149000,United States
2017,58000,United States
2017,85000,United States
2017,92000,United States
2017,100000,United States
2017,120000,United States
2017,80939,United States
2017,92000,United States
2017,120000,United States
2017,130000,United States
2017,90000,United States
2017,96000,United States
2017,98000,United States
2017,75000,Canada
2017,91000,United States
2017,140000,United States
2017,81000,Canada
2017,87000,United Kingdom
2017,76000,United States
2017,105000,United States
2017,92000,United States
2017,57500,United States
2017,55600,United States
2017,39000,United States
2017,80000,United States
2017,75000,United Kingdom
2017,90000,United States
2017,115000,United States
2017,142500,United States
2017,120000,United States
2017,120000,United States
2017,85000,United States
2017,55908,United Kingdom
2017,47414,United Kingdom
2017,120000,United States
2017,110000,United States
2017,102000,United States
2017,129780,United States
2017,155000,United States
2017,64500,Canada
2017,120000,United States
2017,98600,United States
2017,90000,United States
2017,62666,Sweden
2017,111214,Canada
